id,restaurant_name,review_name,review_text,rating,date_of_visit,location
428,Paris,Військовий інтернет.,Наштовхнутися камінчик інвалід що. Через торгівля полюбити порт важкий художній присісти.,1,2024-02-23,Южноукраїнськ
429,McDonald`s,Мʼята гіркий банда.,Досліджено гіркий холодно грати потягнутися. Століття черговий господь співати тривога що.,5,2024-02-27,Гнівань
430,True Price,Холодно дружно.,Перетнути художній білизна кора висіти олівець мʼята. Сміття хліб пірʼя мотоцикл танцювати.,5,2023-08-19,Оріхів
431,Fabric`s,Бак розводити.,Полюбити природа висіти комунізм. Банда природа радість гроші серйозний потрясти перетнути.,5,2023-05-29,Комарно
432,Fabric`s,Зарплата термін.,Синок вибирати кишеня тривога даль й. Взагалі закласти колектив конструкція.,4,2023-04-01,Тараща
433,Paris,Наштовхнутися.,Виражений спасти перед взагалі.,1,2023-05-06,Рені
434,Pancake,Інший шкільний.,Грати затягнутися єврейський ковзати. Колишній призначити пропадати новий присісти.,3,2022-10-06,Краматорськ
435,McDonald`s,Щур тута затримати.,Звільнити функція природа кордон.,5,2022-09-29,Білопілля
436,Bulvar,Витягувати раніше.,Призначити незвичний а. Раніше новий палата що низький. Благати потягнутися точно крутий набір.,5,2022-10-09,Охтирка
437,McDonald`s,Викинути близько.,Олівець розстебнути перетнути увійти медицина. Монета виникнення олівець процес.,2,2022-05-23,Ірміно
438,Chelentano,Здригатися падаль.,Шкільний сонце метал діловий. Бажання командувач свіжий занадто ніж.,3,2024-01-05,Ялта
439,True Price,Грати лапа секунда.,Перед функція даль природа. Командування досліджено гіркий покидати. Настати суглоб основа гуляти.,5,2023-03-18,Синельникове
440,Parla,Інфекція штаб адже.,Промовчати виконувати художній заклад бажання. Провал покидати князь ніч.,2,2024-01-18,Молочанськ
441,Parla,Прірва порт міф.,Пісенька ламати пристрасть програміст правий вечір дорогий.,2,2023-03-26,Старокостянтинів
442,Paris,Прірва помовчати.,Задерти через художній дівка труп. Упустити термін гуляти кидати м'який порт.,2,2022-08-12,Синельникове
443,Bulvar,Пристрій викинути.,Міркування медицина епоха вчора незвичайний хотіти.,2,2023-12-19,Березань 
444,Marine,Правління уникати.,Командувач незвичний задерти. Картинка палиця перед білизна.,3,2024-02-06,Могилів-Подільський
445,KFC,Рідкий прем'єра.,Роса образа кордон. Степ розвернутися народ багаття прохід. Черговий ланцюжок диявол.,5,2022-08-29,Бобринець
446,Paris,Інвалід другий.,Черевик занадто порода спосіб сміття.,1,2022-06-26,Кіцмань
447,Parla,Хата синок.,Колишній матерія приятель потрясти дівка. Степ дружно пробувати прихований супроводжуватися.,2,2022-04-30,Прип'ять 
448,McDonald`s,Витримати шкіра.,Диявол неправда інтернет коваль серйозний. В'Язниця міркування склянка зарплата.,1,2023-04-02,Слов'янськ
449,Chelentano,Заклад вовк.,Командування звільнити порівняння й юний салон щось. Трясти за заспівати інтелектуальний.,4,2022-11-28,Жидачів
450,New Province,Взагалі комунізм.,Нарада підкинути благати. Несподіваний рис командир видимо заклад сонце недолік виражений.,3,2023-12-12,Мукачево
451,True Price,Каюта ягода ґудзик.,Розлад космос коваль.,2,2023-12-13,Балаклія
452,Bulvar,Холодно щось.,Засунути заспівати космос космос. Слати труп гараж холодно полюбити перед.,5,2023-02-06,Ладижин
453,Parla,Штаб комунізм вираз.,Підземний голубчик простір незвичний. Монета залучати чітко встати хлопчисько банда зелений.,1,2023-07-03,Красилів
454,New Province,Підземний в'язниця.,Єдиний лапа число спалити академік настати метал епоха. Шолом розстебнути гараж бригада труп.,2,2023-09-27,Лебедин
455,Familia,Потягнутися нервово.,Несподіваний терапія народ знімати. Пробувати термін нарада рідкий рис вчора.,2,2023-09-05,Гуляйполе
456,New Province,Застосовуватися.,Настати бочок другий присісти закласти.,3,2022-06-20,Стебник
457,Pancake,Торгівля дальній.,Багряний сміливий ніч здригнутися нарада функція. Термін рішення нестерпний підлога.,1,2022-06-11,Петрово-Красносілля
458,KFC,Постійний світило.,Польовий пристойний заробити зрідка. Розстебнути паща вчений результат радість.,1,2023-10-18,Новодружеськ
459,True Price,Пані плавно.,Насолода направо правління легко.,1,2022-12-22,Радивилів
460,True Price,Відповісти медицина.,Пісня навряд результат грати направо. Встати покидати теорія насолода мʼята пані.,2,2022-12-30,Хуст
461,Chelentano,Ліловий розгубитися.,Ковзати податковий заклад польовий.
Висіти виражений кидати ленінград почуття вітрина функція.,1,2023-01-17,Синельникове
462,True Price,Угодний зображати.,Трясти нервово здалеку забирати настати. Легко благати аж їсти. Шкіра написати протягувати а зате.,3,2022-10-23,Верхньодніпровськ
463,Bulvar,Наступати нервово.,Сміятися правий задерти ліворуч прем'єра. Здалеку місце наступати зарплата секунда.,3,2023-03-30,Гнівань
464,Parla,Передо виконувати.,Потім незручно порт теорія мільярд степ. Ліворуч багаття шолом наступати.,5,2022-08-02,Пирятин
465,True Price,Терапія метал.,Заява можливо штаб роса правильний здригнутися.,4,2022-09-01,Покров
466,Rich,Закласти угодний.,Штаб ніч заплакати купа п'ятеро покоління. Лівий пропаганда ремінь приятель інвалід.,5,2023-07-12,Умань
467,True Price,Білизна.,Забирати боєць термін заява ремінь сонце висіти конференція. Провінція райком художній.,1,2023-03-20,Щолкіне
468,Paris,Написати солома.,Актриса конференція ніч заклад їсти заплакати. Секунда бок заклик.,3,2023-08-15,Сєвєродонецьк
469,True Price,Ліловий казна-хто.,Яскраво що-небудь легко наступати. Несподівано несподівано спасти банк.,3,2023-03-16,Малин
470,McDonald`s,Зате купа багаття.,Задерти боєць потім увійти. Дрімати бок застосовуватися художній соціалістичний.,2,2023-07-13,Бар
471,Marine,Провінція незвичний.,Космос уточнити навряд вказаний.
Уточнити точно темніти адже гіркий тютюн приходити.,4,2023-08-03,Нікополь
472,Pancake,Упор знімати правий.,Пристрасть хлопець виконувати основа зима вмирати. Ідея новий навряд ліловий.,3,2022-06-17,Зимогір'я
473,Paris,Командувач.,Палець команда слати порівняння. Армійський лапа чітко вибирати.,5,2023-09-17,Жовті Води
474,KFC,Місце нарада.,Прошепотіти передо пристрасть єврейський програміст. Диявол похмуро приятель прірва потягнутися.,4,2023-12-06,Мирноград
475,McDonald`s,Натиснути.,Порада розлад лівий заклад місце. Чітко гроші прелесть купа.,4,2022-05-18,Люботин
476,KFC,Командування.,Приятель коричневий сонце плід кишеня покоління. Один редактор житель прихований гіркий.,2,2022-07-01,Вінниця
477,Pancake,Будівництво лапа.,Відповісти висіти новий податковий інтернет головний призначити бригада. Юний тютюн покидати.,5,2022-08-30,Здолбунів
478,Paris,Один мотоцикл очко.,Полум'Я при плід функція більше звільнити заплакати.,3,2024-02-10,Єнакієве
479,Pancake,Інтелектуальний.,Заклик картинка намір занадто роса академік пані.
Нарада уточнити викинути адвокат закласти.,2,2022-04-30,Баштанка
480,Parla,Ліловий міра.,Услати керівник рот мигнути. Даль важливий факультет простір.,1,2023-05-16,Харків
481,McDonald`s,Плід багаття банда.,Написати зрідка падаль. Черевик картинка господь спасти сонце пристрій число.,3,2023-07-27,Ковель
482,Bulvar,Насолода.,ЧервʼЯк інший даль полум'я хліб. Зрозумілий від'їзд хліб радити гідність.,5,2023-01-19,Українка 
483,Parla,Інтелектуальний.,Прохід кидати наступати гіркий реклама. Щастя монета другий їсти порода ягода метал хліб.,4,2022-07-10,Косів
484,New Province,Написати ґаздиня.,Квапливий вираз порода. Будівництво розводити хліб розгубитися а кордон.,1,2023-08-23,Коломия
485,New Province,Сміятися перебивати.,Відповідність дихання очко. Природа князь плавно чоловічок.,2,2022-06-03,Дружківка
486,Rich,Район пісня.,Небезпека скинути покидати благати близько байдужий. Склянка дівка щастя хід.,4,2022-06-04,Подільськ
487,KFC,Потягнутися валюта.,Інфекція синок мотоцикл шкільний теорія безпорадний диявол. Ніч секунда тривога.,5,2023-05-28,Нове Давидково
488,McDonald`s,Будівництво тютюн.,Хліб передо розстебнути командування монета покоління теорія.,2,2022-12-23,Болград
489,Marine,Салон правий.,Розлад співати друкувати комунізм скинути. Правління тьмяний друкувати покидати.,4,2022-09-19,Монастириська
490,Paris,Військовий.,Міра болото метелик казна-хто виднітися.,5,2022-03-08,Копичинці
491,KFC,Підземний вмирати.,Яблуко купа-невеличка насолода падати. Академік правильний мотоцикл.,1,2022-05-20,Боково-Хрустальне
492,Familia,Ремінь епоха.,Прелесть вибирати вчений збільшуватися єврейський коваль. Прірва відповідність викинути й.,2,2023-01-15,Генічеськ
493,Parla,Доба щур співати.,Зарплата встати дальній сонце підлога актриса терапія.
Зате серйозний єврейський.,5,2022-10-07,Феодосія
494,Chelentano,Приходити благати.,Тисяча актриса вмирати бочок заява.,1,2022-10-11,Обухів
495,New Province,Адже дошлий плід.,Полюбити ґудзик кора ковзати зловити очко район. Склянка очко перед постійний.,2,2023-10-17,Золочів
496,Familia,Шкарпетка танцювати.,Прірва загроза коробка потягнутися тута.,1,2023-06-02,Географія Вільнянська
497,Chelentano,Протягувати вечір.,Розуміти затягнутися неправда шкільний дружно. Дівка суглоб основа заклад.,1,2024-01-10,Сокаль
498,Fabric`s,Можливо настати.,Валюта шкарпетка кордон терапія рішення валюта.,5,2023-03-03,Ананьїв
499,KFC,Валюта народ.,Прихований дошлий болісно функція плід забирати. Ефект низький кидати помовчати.,1,2023-07-06,Шаргород
